根据startDate和endDate计算workingDays, calculateWorkingDays
从此月 - 日获取指定字段的值，作为 int 。,get
参见 chown2,chown
"返回出现在视口左上角的视图坐标，如果没有视图则为0,0",getViewPosition
返回回收器视图的文本基线距其顶部边界的偏移量,get baseline
返回孩子偏好的数量,get preference count
导致可运行的 r 添加到消息队列，并在 uptime millis 给定的特定时间运行,post at time
将指定的参数设置为SQL NULL 。,setNull
在给定公钥类型和对等方识别的证书颁发机构列表（如果有）的情况下，获取用于对安全套接字的客户端进行身份验证的匹配别名。,getClientAliases
当用户按下某个键时调用,on press
以Java编程语言中 java.io.Reader对象的形式检索指定参数的值。,getNCharacterStream
设置底部工作表折叠时的高度,set peek height
注册一个 ui 观察器，当测试框架无法使用 ui 选择器找到匹配项时自动运行,register watcher
表盘是否接受点击事件,get accepts tap events
获取 c 的原始分解映射,get raw decomposition
获取当用户回复此通知时将触发的待处理意图,get reply pending intent
访问null类型。,visitNull
返回此set的部分视图，其元素范围从 fromElement （包括 toElement ）到 toElement （独占）。,subSet
将一组电子邮件地址设置为该共享的收件人,set email to
"如果提供商需要访问基于卫星的定位系统（例如卫星定位系统），则返回 true。 , GPS , 否则为 false",requires satellite
设置窗口标高,set elevation
设置使用位图作为源时的调整大小值,resize bitmap area
返回此 ZonedDateTime的副本，并更改日期。,withHour
设置包装的可绘制对象,set drawable
删除之前安装的预绘制回调,remove on draw listener
创建从 UIDefaults表中检索的值。,createValue
控制候选人显示区域的可见性,set candidates view shown
获取此对话框正在控制的路由,get route
获取此日期时间的 LocalTime部分。,toLocalTime
负责将传入的按键事件分派到服务上的适当回调，并在完成时通知客户端,dispatch key event
检索并删除此双端队列的第一个元素。,removeFirst
注册一个回调，当触摸事件发送到此视图时调用,set on touch listener
使用给定对象设置指定参数的值。,setObject
设置宽工作日字符串,set weekdays
为播放状态 compat.custom 操作设置可选附加功能,set extras
返回定义了货币的 ulocale 数组,get available ul ocales
ICC配置文件标记签名：'targ'。,icSigCharTargetTag
在特定索引处添加项目。,insertElementAt
从将收到抽屉事件通知的侦听器列表中删除指定的侦听器,remove drawer listener
此方法已被弃用。使用获取项目偏移量 rect 、 view 、 recycler view 、 state,get item offsets
应该从您的适配器设置的下拉视图主题中调用,set drop down view theme
返回父回收器视图的结束填充,get padding end
将指定的 mime 类型添加到此 drm 插件支持的 mime 类型列表中,add mime type
获取签名对象,get signature
通过对每个标签调用updateUI来更新标签表中的标签的UI,updateLabelUiS
到框架的通道已断开,on channel disconnected
获取这些规则中指定的本地日期时间适用的偏移转换。,getTransition
设置所有移动动画运行的持续时间,set move duration
由恢复层次结构状态包调用以检索此首选项及其子项的已保存状态,dispatch restore instance state
请求将会议的音频路由更改为指定状态,set call audio state
以指定的16位单位偏移量插入字符串。,insertData
iconOnly价值。,iconOnly
当宿主视图的子视图请求发送可访问性事件并为父级宿主提供增强事件的机会时调用,on request send accessibility event
返回该语言环境的本地化国家/地区，以便在默认显示语言环境中显示。,get display country
获取 Web 视图是否允许设置第三方 cookie,accept third party cookies
指定混合模式，用于将设置复选标记色调列表颜色状态列表指定的色调应用于复选标记可绘制对象,set check mark tint mode
获取网络视图对象,get web view
指示是否为此视图启用绘图缓存,is drawing cache enabled
将视图持有者的视图重置为未按下状态,on animate item pressed cancelled
提供对更改远程连接当前呼叫视频会话属性的请求的响应。视频提供程序,send session modify response
根据span条件，依次删除所有匹配的span,delete from
添加de json工厂来拦截json对象并替换为更合适的类型,add de jsonf actory
返回折叠时标题的水平和垂直对齐方式,get collapsed title gravity
返回首先将此运算符应用于其输入的 after运算符，然后将 after运算符应用于结果。,andThen
使用指定的排队策略和语音参数朗读文本，文本可以使用 tts 跨度进行跨度,speak
目前的深度。,depth
返回具有此上下文的菜单充气器,get menu inflater
查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。,mismatch
撤消编辑。,undo
设置将在之间进行动画处理的浮点值,set float values
添加到 vpn 接口的网络路由,add route
用于计算该动画的已用部分的时间插值器,set interpolator
解析的模式是否具有像名字这样的命名参数？,has named arguments
将矩阵与指定矩阵进行后连接,post concat
释放本机资源（如果尚未释放）,finalize
将此计时器统计对象写入包裹,write to parcel
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，或者 null 值与该 key 显式关联，则返回 null,get size
设置同步附加功能的便捷功能请勿重试,set no retry
返回此节点的子节点，给定从 0 开始的索引值以获取子节点数 - 1,get child at
返回一个布尔值，指示下次选择卡片时所选动画是立即运行还是延迟运行,is selected animation delayed
当媒体会话的状态发生变化时调用,on session status changed
删除所有视图并使用给定的回收器回收它们,remove and recycle all views
返回该进程的用户句柄,my user handle
获取等待小部件在用户界面中可见的当前超时时间，以便它可以由选择器匹配,get wait for selector timeout
从此TabbedPane中移除变更监听器,removeChangeListener
尝试建立可在分布式事务中使用的物理数据库连接。,getXAConnection
返回提供的索引处的属性的localName,getAttributeLocalName
当应用程序报告自动完成候选者它希望显示输入法时调用,on display completions
返回 mtp 设备的唯一序列号,get serial number
当滚动与此应用栏关联的视图时将插值器设置为layout.layout params,set scroll interpolator
返回集合中值的索引,index of
返回与给定 key 关联的值，如果给定 key 不存在所需类型的映射，或者 null 值与该 key 显式关联，则返回 null,get char sequence array list
设备名称是否包含在通告包中,get include device name
返回与此对象相同类型的调整对象，并进行调整。,with
关闭该资源，放弃任何底层资源,close
如果你想支持滚动条，重写这个方法,compute vertical scroll offset
获取用于此消息的文本，或后备文本（如果已设置类型和内容 uri）,get text
返回该行的唯一标识符,get id
返回指定子视图组中的位置,index of child
设置是否在字体上升和下降之外包含额外的空间，这是为了避免在某些语言（例如阿拉伯语和卡纳达语）中出现剪裁而需要的。,set include pad
获取此元素包含的子元素数。,getElementCount
添加指定账户类型的账户,add account
返回索引处声明的命名空间的uri。,getNamespaceURI
